,LSOA11CD,avg_str_price,cost_fl_area,count_prop,count_list,borough,imd_score,income_score,employ_score,educ_score,health_score,crime_score,house_score,env_score
0,E01000001,137.9,13261.97,40,10,City of London,6.2,0.0,0.0,0.0,-1.7,-2.0,29.5,31.9
1,E01000002,180.87,14235.39,27,15,City of London,5.1,0.0,0.0,0.1,-1.1,-2.3,24.4,23.1
2,E01000003,81.07,13600.62,99,14,City of London,19.4,0.1,0.1,5.8,-0.1,-1.0,40.1,40.5
3,E01000005,128.67,8998.64,7,64,City of London,28.7,0.2,0.1,22.3,-0.1,-1.3,39.9,29.0
4,E01000842,124.82,11701.46,24,34,Camden,8.5,0.1,0.0,5.4,-1.5,0.0,20.7,28.6
5,E01000843,149.86,11788.29,44,29,Camden,13.6,0.1,0.1,5.2,-1.4,0.0,22.1,33.5
6,E01000844,166.81,11944.08,33,32,Camden,9.8,0.1,0.0,1.4,-1.2,0.4,19.6,36.3
7,E01000845,113.89,12026.75,39,44,Camden,11.3,0.1,0.1,4.8,-0.9,0.6,16.4,25.2
8,E01000846,121.5,9918.79,10,16,Camden,22.1,0.2,0.1,7.1,-0.5,0.4,21.5,30.2
9,E01000847,92.0,8898.09,11,15,Camden,17.1,0.2,0.1,6.3,-0.9,0.2,20.9,27.4
10,E01000848,135.24,12893.4,39,42,Camden,6.0,0.0,0.0,4.6,-2.1,0.0,16.6,23.1
11,E01000849,125.08,10487.95,33,40,Camden,7.7,0.0,0.0,11.1,-1.2,-0.1,18.6,27.8
12,E01000850,193.78,13520.71,16,110,Camden,14.3,0.1,0.0,4.7,-1.4,0.4,26.9,53.3
13,E01000851,193.12,11528.74,8,258,Camden,15.0,0.0,0.0,6.9,-1.2,-0.1,25.5,74.0
14,E01000852,124.16,13504.06,19,19,Camden,14.6,0.1,0.0,1.3,-0.6,0.5,26.5,48.2
15,E01000853,168.29,11195.39,14,59,Camden,30.8,0.2,0.2,11.1,0.0,0.6,21.2,37.0
16,E01000854,177.35,12946.15,19,84,Camden,15.8,0.1,0.1,7.0,-0.4,-0.4,26.3,37.5
17,E01000855,274.66,13665.52,79,111,Camden,14.7,0.0,0.0,5.3,-1.0,0.4,29.2,55.5
18,E01000856,152.99,10563.33,19,71,Camden,31.4,0.2,0.1,13.1,0.5,1.3,22.5,32.4
19,E01000857,160.76,13303.2,26,21,Camden,14.9,0.1,0.1,2.7,-0.5,-0.2,16.0,27.2
